Feature,Importance
HT_GoalDiff,0.22017973995203624
SecondHalfHomeGoals,0.2142669888218254
SecondHalfAwayGoals,0.19913293101352758
HalfTimeHomeGoals,0.09055347204509835
HalfTimeAwayGoals,0.06762336457256003
HomeSOTDiff,0.05624392983753915
HomeShotsOnTarget,0.024508806027780345
AwayShotsOnTarget,0.02218313384650486
HomeShotDiff,0.015767039756540705
AwayShots,0.011994412125325224
HomeShots,0.011347401798173775
HomeFoulDiff,0.007986363011265393
HomeCornerDiff,0.007755408478719323
AwayFouls,0.007340946334720111
HomeFouls,0.006921384951703534
AwayCorners,0.006848714463975178
HomeCorners,0.00640675198725591
HomeYellowDiff,0.0058404471885524206
HomeYellowCards,0.0056339069506833655
AwayYellowCards,0.004645478909102373
HomeRedDiff,0.0034601132860260916
HomeRedCards,0.002220080334761453
AwayRedCards,0.0011391843063233071
