Season,Team,HomeMatches,HomeWins,HomeDraws,HomeLosses,HomeGoals,HomeGoalsAllowed,HomeComebackWins,HomeBlownLeads,AwayMatches,AwayWins,AwayDraws,AwayLosses,AwayGoals,AwayGoalsAllowed,AwayComebackWins,AwayBlownLeads,TotalMatches,TotalWins,TotalDraws,TotalLosses,TotalGoals,TotalGoalsAllowed,GoalDifference,TotalComebackWins,TotalBlownLeads,WinRate,ComebackRate,BlownLeadRate
2000/01,Arsenal,19,15,3,1,45,13,1,2,19,5,7,7,18,25,0,1,38,20,10,8,63,38,25,1,3,0.5263157894736842,0.02631578947368421,0.07894736842105263
2000/01,Aston Villa,19,8,8,3,27,20,2,2,19,5,7,7,19,23,0,1,38,13,15,10,46,43,3,2,3,0.34210526315789475,0.05263157894736842,0.07894736842105263
2000/01,Bradford,19,4,7,8,20,29,0,4,19,1,4,14,10,41,0,3,38,5,11,22,30,70,-40,0,7,0.13157894736842105,0.0,0.18421052631578946
2000/01,Charlton,19,11,5,3,31,19,0,2,19,3,5,11,19,38,0,1,38,14,10,14,50,57,-7,0,3,0.3684210526315789,0.0,0.07894736842105263
2000/01,Chelsea,19,13,3,3,44,20,0,3,19,4,7,8,24,25,0,2,38,17,10,11,68,45,23,0,5,0.4473684210526316,0.0,0.13157894736842105
2000/01,Coventry,19,4,7,8,14,23,0,1,19,4,3,12,22,40,0,3,38,8,10,20,36,63,-27,0,4,0.21052631578947367,0.0,0.10526315789473684
2000/01,Derby,19,8,7,4,23,24,0,2,19,2,5,12,14,35,0,1,38,10,12,16,37,59,-22,0,3,0.2631578947368421,0.0,0.07894736842105263
2000/01,Everton,19,6,8,5,29,27,2,2,19,5,1,13,16,32,1,1,38,11,9,18,45,59,-14,3,3,0.2894736842105263,0.07894736842105263,0.07894736842105263
2000/01,Ipswich,19,11,5,3,31,15,2,1,19,9,1,9,26,27,1,1,38,20,6,12,57,42,15,3,2,0.5263157894736842,0.07894736842105263,0.05263157894736842
2000/01,Leeds,19,11,3,5,36,21,2,0,19,9,5,5,28,22,0,1,38,20,8,10,64,43,21,2,1,0.5263157894736842,0.05263157894736842,0.02631578947368421
2000/01,Leicester,19,10,4,5,28,23,0,1,19,4,2,13,11,28,0,0,38,14,6,18,39,51,-12,0,1,0.3684210526315789,0.0,0.02631578947368421
2000/01,Liverpool,19,13,4,2,40,14,0,0,19,7,5,7,31,25,0,4,38,20,9,9,71,39,32,0,4,0.5263157894736842,0.0,0.10526315789473684
2000/01,Man City,19,4,3,12,20,31,0,0,19,4,7,8,21,34,0,3,38,8,10,20,41,65,-24,0,3,0.21052631578947367,0.0,0.07894736842105263
2000/01,Man United,19,15,2,2,49,12,1,1,19,9,6,4,30,19,0,3,38,24,8,6,79,31,48,1,4,0.631578947368421,0.02631578947368421,0.10526315789473684
2000/01,Middlesbrough,19,4,7,8,18,23,0,2,19,5,8,6,26,21,0,4,38,9,15,14,44,44,0,0,6,0.23684210526315788,0.0,0.15789473684210525
2000/01,Newcastle,19,10,4,5,26,17,0,2,19,4,5,10,18,33,0,0,38,14,9,15,44,50,-6,0,2,0.3684210526315789,0.0,0.05263157894736842
2000/01,Southampton,19,11,2,6,27,22,1,0,19,3,8,8,13,26,0,2,38,14,10,14,40,48,-8,1,2,0.3684210526315789,0.02631578947368421,0.05263157894736842
2000/01,Sunderland,19,9,7,3,24,16,0,1,19,6,5,8,22,25,2,0,38,15,12,11,46,41,5,2,1,0.39473684210526316,0.05263157894736842,0.02631578947368421
2000/01,Tottenham,19,11,6,2,31,16,1,1,19,2,4,13,16,38,1,3,38,13,10,15,47,54,-7,2,4,0.34210526315789475,0.05263157894736842,0.10526315789473684
2000/01,West Ham,19,6,6,7,24,20,1,1,19,4,6,9,21,30,0,0,38,10,12,16,45,50,-5,1,1,0.2631578947368421,0.02631578947368421,0.02631578947368421
2001/02,Arsenal,19,12,4,3,42,25,4,2,19,14,5,0,37,11,1,1,38,26,9,3,79,36,43,5,3,0.6842105263157895,0.13157894736842105,0.07894736842105263
2001/02,Aston Villa,19,8,7,4,22,17,0,3,19,4,7,8,24,30,0,3,38,12,14,12,46,47,-1,0,6,0.3157894736842105,0.0,0.15789473684210525
2001/02,Blackburn,19,8,6,5,33,20,0,1,19,4,4,11,22,31,0,2,38,12,10,16,55,51,4,0,3,0.3157894736842105,0.0,0.07894736842105263
2001/02,Bolton,19,5,7,7,20,31,0,1,19,4,6,9,24,31,0,1,38,9,13,16,44,62,-18,0,2,0.23684210526315788,0.0,0.05263157894736842
2001/02,Charlton,19,5,6,8,23,30,0,1,19,5,8,6,15,19,0,1,38,10,14,14,38,49,-11,0,2,0.2631578947368421,0.0,0.05263157894736842
2001/02,Chelsea,19,11,4,4,43,21,0,3,19,6,9,4,23,17,1,2,38,17,13,8,66,38,28,1,5,0.4473684210526316,0.02631578947368421,0.13157894736842105
2001/02,Derby,19,5,4,10,20,26,0,2,19,3,2,14,13,37,0,0,38,8,6,24,33,63,-30,0,2,0.21052631578947367,0.0,0.05263157894736842
2001/02,Everton,19,8,4,7,26,23,0,0,19,3,6,10,19,34,0,0,38,11,10,17,45,57,-12,0,0,0.2894736842105263,0.0,0.0
